ticker,date,n_headlines,n_pos,n_neg,n_neu,mean_signed,median_signed,mean_score,open,close,open_close_return,pos_rate,neg_rate,neu_rate,frac_pos,frac_neg,pos_count,neg_count,neu_count
AAPL,2025-12-11,8,,,,0.2611186802387237,,,279.0950012207031,278.0299987792969,-0.0038159137094829,,,,,,,,
AMZN,2025-12-11,6,,,,0.1599800984064738,,,230.7100067138672,230.27999877929688,-0.0018638460493983,,,,,,,,
GOOGL,2025-12-11,8,,,,0.3950161561369896,,,320.0799865722656,312.42999267578125,-0.023900256865192,,,,,,,,
META,2025-12-11,23,,,,0.6341265414072119,,,642.72998046875,652.7100219726562,0.0155275804881976,,,,,,,,
MSFT,2025-12-11,4,,,,0.9160092175006866,,,476.55999755859375,483.4700012207031,0.0144997559541488,,,,,,,,
NVDA,2025-12-11,11,,,,0.1476749615235762,,,180.2749938964844,180.92999267578125,0.0036333313075743,,,,,,,,
TSLA,2025-12-11,5,,,,0.54897038936615,,,448.9450073242187,446.8900146484375,-0.004577381733298,,,,,,,,
AAPL,2025-12-03,11,4.0,1.0,6.0,0.2755062227899378,0.0,0.7650976208123293,286.20001220703125,284.1499938964844,-0.0071628868731981,0.3636363636363636,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0909090909090909,4.0,1.0,6.0
MSFT,2025-12-03,9,2.0,6.0,1.0,-0.443564944797092,-0.9012425541877748,0.8828213148646884,476.3200073242187,477.7300109863281,0.0029602024698274,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.6666666666666666,2.0,6.0,1.0
NVDA,2025-12-03,10,1.0,2.0,7.0,-0.0780543506145477,0.0,0.8227135956287384,181.0800018310547,179.58999633789062,-0.0082284375861351,0.1,0.2,0.7,0.1,0.2,1.0,2.0,7.0
AMZN,2025-12-03,7,1.0,1.0,5.0,0.0112425259181431,0.0,0.8998292599405561,233.3500061035156,232.3800048828125,-0.00415685106206,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.1428571428571428,0.1428571428571428,1.0,1.0,5.0
