Ticker,Factor,Beta,p_value
AAPL,MKT_RF,0.012696102433698713,7.298861209032409e-266
AAPL,SMB,-0.0007347005247925471,0.18870488949587846
AAPL,HML,-0.0066633622063573495,7.194367076330589e-40
AAPL,RMW,0.005522678244433627,2.5754954191422468e-14
AAPL,CMA,0.007273783502323745,8.492508543946577e-17
JPM,MKT_RF,0.01054773998564791,6.116683893915633e-237
JPM,SMB,-0.0021374739637321045,2.391292872110788e-05
JPM,HML,0.011298182382453809,5.531685616826173e-120
JPM,RMW,-0.0026707852913758776,3.968082855098316e-05
JPM,CMA,-0.003999281223190971,3.275550294389895e-07
XOM,MKT_RF,0.00902804475057616,4.581143694745918e-124
XOM,SMB,-0.0008231891680237538,0.21121351360397475
XOM,HML,0.009321150988617561,2.6657691596898475e-54
XOM,RMW,-0.004677694199974148,3.734108480483063e-08
XOM,CMA,0.005870071879199368,9.606647535569532e-09
WMT,MKT_RF,0.005351506743629527,2.337650300191419e-63
WMT,SMB,-0.0012014210326586389,0.037637032657073285
WMT,HML,-0.002404407814719135,2.2064316274945544e-06
WMT,RMW,0.0026423441143024816,0.0003801275020446474
WMT,CMA,0.005397398338595442,1.8581819687173977e-09
XLV,MKT_RF,0.00760429635112704,1.1466111688102292e-185
XLV,SMB,-0.0011458641565564775,0.007717052444078313
XLV,HML,-0.0010328942583137824,0.006134200081958054
XLV,RMW,0.0006038929454867865,0.2740005510679226
XLV,CMA,0.0046850387390324445,2.597119462814217e-12
