Ticker,CAPM_alpha,CAPM_alpha_p,CAPM_beta_MKT,CAPM_beta_MKT_p,CAPM_beta_MKT_ci_lo,CAPM_beta_MKT_ci_hi,CAPM_R2,CAPM_R2_adj,FF5_alpha,FF5_alpha_p,FF5_beta_MKT,FF5_beta_MKT_p,FF5_beta_MKT_ci_lo,FF5_beta_MKT_ci_hi,FF5_beta_SMB,FF5_beta_SMB_p,FF5_beta_SMB_ci_lo,FF5_beta_SMB_ci_hi,FF5_beta_HML,FF5_beta_HML_p,FF5_beta_HML_ci_lo,FF5_beta_HML_ci_hi,FF5_beta_RMW,FF5_beta_RMW_p,FF5_beta_RMW_ci_lo,FF5_beta_RMW_ci_hi,FF5_beta_CMA,FF5_beta_CMA_p,FF5_beta_CMA_ci_lo,FF5_beta_CMA_ci_hi,FF5_R2,FF5_R2_adj,Delta_R2
AAPL,-0.842170105858459,2.2993253609379675e-91,0.011580515708809816,2.4016457807504553e-230,0.010997675817969147,0.012163355599650484,0.5021453200482009,0.5018147392514202,-0.8669772458683384,2.8234783159483355e-111,0.012696102433698713,7.298861209032409e-266,0.012119904771264681,0.013272300096132745,-0.0007347005247925471,0.18870488949587846,-0.0018306162367851156,0.00036121518720002134,-0.0066633622063573495,7.194367076330589e-40,-0.007623657173770051,-0.005703067238944648,0.005522678244433627,2.5754954191422468e-14,0.004114614099785956,0.006930742389081297,0.007273783502323745,8.492508543946577e-17,0.005579772938038313,0.008967794066609178,0.5845772212867719,0.5831943225560354,0.08243190123857103
JPM,-0.8916101648530727,1.3691175792942827e-91,0.010432767389580143,6.184854401096026e-182,0.009816597384484756,0.01104893739467553,0.4227768758918581,0.42239359360493367,-0.879590913729385,7.583658009586199e-135,0.01054773998564791,6.116683893915633e-237,0.010027599393760194,0.011067880577535624,-0.0021374739637321045,2.391292872110788e-05,-0.0031267703185400755,-0.0011481776089241333,0.011298182382453809,5.531685616826173e-120,0.010431312512439329,0.012165052252468288,-0.0026707852913758776,3.968082855098316e-05,-0.003941861807929361,-0.0013997087748223943,-0.003999281223190971,3.275550294389895e-07,-0.0055284850277488315,-0.002470077418633111,0.6488219408597105,0.6476529060423326,0.22604506496785237
XOM,-0.8985986013753371,9.277345825424685e-65,0.00811886362195552,3.2438233574939904e-86,0.007361186129278271,0.00887654111463277,0.2268161828171591,0.22630278054811337,-0.8857465614256613,2.1562080934567633e-87,0.00902804475057616,4.581143694745918e-124,0.008349286655644876,0.009706802845507442,-0.0008231891680237538,0.21121351360397475,-0.0021141726436162116,0.0004677943075687041,0.009321150988617561,2.6657691596898475e-54,0.008189928102534145,0.010452373874700977,-0.004677694199974148,3.734108480483063e-08,-0.006336387038686454,-0.0030190013612618424,0.005870071879199368,9.606647535569532e-09,0.003874535523583748,0.007865608234814988,0.4702300850960077,0.46846653677741923,0.24341390227884863
WMT,-0.8573791780043056,2.0713207607326167e-99,0.0044324302028423915,8.744425504423727e-50,0.0038677191376146757,0.004997141268070108,0.13599340158545292,0.13541969202475268,-0.8715329033063183,3.1866449373110826e-106,0.005351506743629527,2.337650300191419e-63,0.004755991090621787,0.005947022396637266,-0.0012014210326586389,0.037637032657073285,-0.0023340791522903125,-6.876291302696544e-05,-0.002404407814719135,2.2064316274945544e-06,-0.003396898277424359,-0.001411917352013911,0.0026423441143024816,0.0003801275020446474,0.001187072263607247,0.004097615964997716,0.005397398338595442,1.8581819687173977e-09,0.003646593236174629,0.007148203441016255,0.17965961681735632,0.17692878997586947,0.043666215231903394
XLV,-0.9139798437150355,1.5042621265661514e-178,0.006877661399384712,2.1923958983007855e-173,0.006458477589861922,0.007296845208907502,0.4075016037654975,0.4071081785355941,-0.9211328913994485,1.985285518940373e-186,0.00760429635112704,1.1466111688102292e-185,0.00716132838623003,0.008047264316024049,-0.0011458641565564775,0.007717052444078313,-0.0019883798144459852,-0.00030334849866696986,-0.0010328942583137824,0.006134200081958054,-0.0017711477000558256,-0.00029464081657173925,0.0006038929454867865,0.2740005510679226,-0.00047859549426879176,0.0016863813852423647,0.0046850387390324445,2.597119462814217e-12,0.00338272104304307,0.005987356435021819,0.43510714397899275,0.43322667508411594,0.02760554021349526
